size,threads,t_min,t_avg,s_min,s_avg
20000,1,0.391234,0.445044,1.0000,1.0000
20000,2,0.202361,0.211780,1.9333,2.1014
20000,4,0.099297,0.105428,3.9400,4.2213
20000,7,0.058665,0.062739,6.6690,7.0936
20000,8,0.053026,0.056895,7.3782,7.8223
20000,16,0.039208,0.044347,9.9784,10.0355
20000,20,0.036784,0.039064,10.6361,11.3926
20000,40,0.031726,0.034672,12.3316,12.8359
40000,1,1.609880,1.696871,1.0000,1.0000
40000,2,0.789769,0.813073,2.0384,2.0870
40000,4,0.362081,0.390933,4.4462,4.3406
40000,7,0.197286,0.206947,8.1601,8.1995
40000,8,0.176650,0.184091,9.1134,9.2176
40000,16,0.124458,0.147315,12.9351,11.5186
40000,20,0.143127,0.152157,11.2479,11.1521
40000,40,0.124538,0.136694,12.9268,12.4137
