threads,avg_time,std_dev,min_time,max_time
1,26.858557,.165084,26.617494,27.314099
2,13.621754,.031827,13.565655,13.691716
3,9.164885,.025455,9.116523,9.214384
4,6.996207,.104637,6.903913,7.304066
5,5.624924,.074919,5.554999,5.802583
6,4.728384,.050209,4.644319,4.825142
7,4.128802,.079290,3.991335,4.294623
8,3.601721,.046032,3.507813,3.729793
9,3.238591,.018814,3.202732,3.275038
10,2.946448,.018761,2.911066,2.991757
11,2.675849,.031606,2.638122,2.786126
12,2.424042,.016309,2.402588,2.477715
13,2.283093,.015297,2.262836,2.326936
14,2.127892,.016583,2.092344,2.159692
15,2.007398,.012449,1.984816,2.030525
16,1.872821,.019646,1.849188,1.935059
17,1.785178,.008306,1.774705,1.802971
18,1.732244,.016124,1.707218,1.768167
19,1.656129,.015231,1.625891,1.685495
20,1.584238,.017720,1.554912,1.622220
21,1.523185,.016492,1.499620,1.562225
22,1.475837,.015937,1.448360,1.514140
23,1.434611,.026438,1.389953,1.501497
24,1.387270,.034205,1.356909,1.479916
25,1.347643,.040348,1.306332,1.440908
26,1.250944,.032434,1.205409,1.328109
27,1.218757,.026851,1.187207,1.294854
28,1.200411,.011313,1.182123,1.231374
29,1.196902,.011661,1.184285,1.227415
30,1.201041,.011916,1.183036,1.225783
31,1.182578,.009110,1.163943,1.197275
32,1.161640,.014491,1.139196,1.193978
33,1.147228,.028930,1.092773,1.194344
34,1.126984,.026115,1.085105,1.167756
35,1.094068,.019924,1.062398,1.138698
36,1.085896,.022405,1.045810,1.132729
37,1.040127,.028530,0.998786,1.096199
38,1.015992,.022203,0.981025,1.054066
39,.987062,.018734,0.948604,1.035841
